r,g,b,c_c,c_m,c_y,c_k,c_w,pred_r,pred_g,pred_b,pred_d
0.0,0.1,0.3,1.45142313255e-05,2.86416817819e-06,8.13785873286e-09,0.989605569789,0.0103770436734,0.231912541281,0.235094968317,0.242986339696,66.4910619969
0.0,0.1,0.4,0.980527548985,1.78436487113e-19,1.92580429963e-13,0.0194724510116,3.43405929624e-12,0.174101403606,0.314896541656,0.367963697212,2.17289906099
0.0,0.1,0.5,0.986159817707,9.78058171651e-16,1.09550873302e-15,0.0138401822931,6.00102482797e-15,0.0886729541892,0.373948078296,0.448329994769,1.79901844635
0.0,0.1,0.6,0.944641720938,0.044498666563,4.45231416489e-25,0.0108596124992,1.43151978473e-17,0.0390744374877,0.40062646554,0.504400245131,1.5893965423
0.0,0.1,0.7,0.883465760754,0.108888049759,5.5139692014e-22,0.00764618948741,1.15698347215e-15,0.0363150713213,0.42683750253,0.579655247656,1.35910549429
0.0,0.1,0.8,0.846120748631,0.148720237929,1.72485342225e-41,0.00515901339055,4.97197593225e-11,0.0340939791248,0.456217985737,0.654578954786,1.18352779486
0.0,0.1,0.9,0.821739466821,0.175158949195,6.58738822767e-25,0.00310158398365,7.6587508524e-19,0.032377413773,0.488134793371,0.7293985632,1.04001202015
0.0,0.1,1.0,0.805085293804,0.193580002871,1.15785508487e-36,0.00133470332485,9.24696155588e-17,0.03105046688,0.522006739805,0.804037635035,0.917894341716
0.0,0.2,0.0,3.47871902532e-09,3.62370800026e-07,0.145361066179,0.854638567972,7.60709707598e-29,0.231374662225,0.23487738102,0.239035694338,60.9833745386
0.0,0.2,0.1,1.12885485911e-07,7.5326736144e-05,0.00197427027239,0.997950290106,3.82773374085e-20,0.231232249151,0.234746528885,0.23922368534,67.0116416308
0.0,0.2,0.2,1.11880766583e-05,1.39672127736e-12,7.51653667606e-06,0.999981291921,3.46443254839e-09,0.231230522225,0.234744970727,0.239226402878,67.0955010257
0.0,0.2,0.3,0.974750995276,2.83423148556e-25,0.0120511392743,0.0131978654492,3.2994989625e-26,0.0657249242645,0.389870242333,0.311384578814,2.03966643369
0.0,0.2,0.4,0.984144211196,1.15564717293e-25,0.00269369941483,0.0131620893887,2.1981186794e-29,0.0617785820029,0.38647788829,0.408682459048,1.81749831868
0.0,0.2,0.5,0.987312289847,8.5623515004e-13,1.83689284065e-13,0.0126877101512,4.21480787675e-13,0.0346905809436,0.391043526936,0.471074486931,1.72251541779
0.0,0.2,0.6,0.924263437259,0.066046201853,8.08219459423e-17,0.00969036067043,2.18083102754e-10,0.026003496757,0.410584291192,0.529906225957,1.50609172079
0.0,0.2,0.7,0.869543495249,0.123817380102,1.98357855804e-15,0.00663912464943,1.67754186273e-14,0.0250858487438,0.438915458481,0.608585806212,1.28832647374
0.0,0.2,0.8,0.836253532337,0.159489180771,2.46224443398e-13,0.0042572868912,1.05765534307e-12,0.0244026094618,0.470245939577,0.686233291694,1.12084182715
0.0,0.2,0.9,0.814580565584,0.183139439872,3.70786711234e-12,0.00227999454008,1.26977712102e-13,0.023943181061,0.50384040391,0.76315101814,0.983380969832
0.0,0.2,1.0,0.799801416453,0.199619574259,1.29976169102e-22,0.000579009288003,6.7721612677e-15,0.0236101016326,0.539106429838,0.839352175108,0.866148256863
0.0,0.3,0.0,7.07789587033e-07,3.36548605577e-13,0.300207525571,0.699791766639,2.19032169302e-30,0.231596441539,0.235073160741,0.238837276716,54.0227119877
0.0,0.3,0.1,7.36190400197e-08,2.66514067172e-16,0.0989552544213,0.90104467196,2.90682653619e-32,0.231323455022,0.234830919167,0.239095316812,62.9830098186
