Color,Wavelength,R,T,x,K,S
w,664.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,663.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,662.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,661.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,660.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,659.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,658.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,657.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,656.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,655.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,654.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,653.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,652.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,651.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,650.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,649.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,648.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,647.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,646.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,645.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,644.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,643.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,642.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,641.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,640.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,639.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,638.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,637.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,636.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,635.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,634.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,633.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,632.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,631.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,630.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,629.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,628.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
w,627.0,0.9,0.001,0.3,0.9204807023995438,165.70309674159301
