Color,Wavelength,R,T,x,K,S
y,719.0,0.08335058212,0.7177623748999999,3,0.07423160110033754,0.03806794935860067
y,718.0,0.08318092346,0.7180879974,3,0.07416539105586258,0.03797485815953454
y,717.0,0.08334504128,0.7176931000000001,3,0.07426300407899603,0.038068686634006386
y,716.0,0.08334558487,0.7185847473,3,0.07388844579774831,0.03802680809067713
y,715.0,0.08315430641,0.7183106995,3,0.07408294866918798,0.03795217213027319
y,714.0,0.0831433773,0.7181497955,3,0.07415505052073311,0.03795475057055456
y,713.0,0.08333944321,0.7179084777999999,3,0.07417487115735995,0.03805593909594337
y,712.0,0.08338272095,0.7177133942,3,0.07423880962273176,0.03808499132563054
y,711.0,0.08329368591,0.7177049255,3,0.07427939473325049,0.0380445967976837
y,710.0,0.08328429222,0.7175573730000001,3,0.07434529322715222,0.03804726647364369
y,709.0,0.08338184356999999,0.7185298157,3,0.07389643064035842,0.038045997588907005
y,708.0,0.08323869705,0.7181887817,3,0.07409905506170145,0.03799656096383812
y,707.0,0.08323583603,0.7182511902000001,3,0.0740740433215104,0.03799230667379547
y,706.0,0.08324909209999999,0.7181636047000001,3,0.07410530456139769,0.038002509034156674
y,705.0,0.08327695847,0.7180195618,3,0.07415420186624136,0.038022070428205594
y,704.0,0.08333377838,0.7184455109,3,0.07395177688615287,0.038027976667977116
y,703.0,0.08326290131,0.7176412201,3,0.07431896221274935,0.03803350147919246
y,702.0,0.08325955391,0.7183622742,3,0.07401755516935787,0.03799792546772359
y,701.0,0.08336474419,0.718310318,3,0.07399564809252514,0.03804853759168771
y,700.0,0.08325548172,0.7181435394000001,3,0.07411107303448701,0.03800638197308907
y,699.0,0.08332837104999999,0.7187174224999999,3,0.07383993371844644,0.03801266910827397
y,698.0,0.08331988335,0.7184607697,3,0.07395114696882422,0.03802089572003243
y,697.0,0.08314982414,0.7182865906000001,3,0.07409493343188395,0.0379512559740419
y,696.0,0.08323262214999999,0.7180345917,3,0.07416632353219856,0.03800105469197451
y,695.0,0.08338141441,0.7177139282,3,0.07423912865460931,0.038084367418444356
y,694.0,0.08332397460999999,0.7184621429000001,3,0.0739488707438016,0.03802270371938946
y,693.0,0.08326943397999999,0.7175098419,3,0.07437144628547504,0.03804270385826297
y,692.0,0.08326782227000001,0.7184230804,3,0.07398859741428408,0.03799884217367584
y,691.0,0.08328893661,0.7180566406,3,0.07413365240286637,0.03802580550064565
y,690.0,0.08325356483,0.7177310943999999,3,0.07428508793372027,0.03802497761892258
y,689.0,0.08335762978,0.717866745,3,0.07418483551579859,0.0380662430316182
y,688.0,0.08323144913,0.7175950623,3,0.07435143882820033,0.038021269551658486
y,687.0,0.08323678017000001,0.7174893951,3,0.07439362317488281,0.03802870472438315
y,686.0,0.08331225395000001,0.7170813751,3,0.07453371979401548,0.038082600237643864
y,685.0,0.08340753555,0.7177371979,3,0.07421849247192601,0.03809523466099947
y,684.0,0.08331892013999999,0.7171424102999999,3,0.07450528590876648,0.038082767901338015
y,683.0,0.08337360382,0.7173011017,3,0.07441582847443474,0.03810032628883789
y,682.0,0.08332344055,0.7175550842,3,0.07432997034793389,0.03806531541972687
y,681.0,0.08332819939,0.7169816589,3,0.07456900828088474,0.03809463338848377
y,680.0,0.08329066277000001,0.7173919678,3,0.07441214917150034,0.038058006678989405
y,679.0,0.08319395065,0.7169416809000001,3,0.07464170583544012,0.03803495678463312
y,678.0,0.0833447361,0.7170207214,3,0.07454570108565832,0.03810036718196167
y,677.0,0.08324709892,0.7171504210999999,3,0.07453180910588587,0.03804945824560261
y,676.0,0.08335453033000001,0.7168997192000001,3,0.07459250228993886,0.038110590612750184
y,675.0,0.08317390442,0.7168889618000001,3,0.07467222462608464,0.038028255301408034
y,674.0,0.08327115059000001,0.7164346313,3,0.07482286334726426,0.03809437146145983
y,673.0,0.08328447342,0.7172073364,3,0.07449232791372264,0.0380639020794981
y,672.0,0.08322173119000001,0.7171573639000001,3,0.07453944835185874,0.038037498819477905
y,671.0,0.08330047606999999,0.7168516541,3,0.07463521794553804,0.03808807431233949
y,670.0,0.08330094337,0.7169727324999999,3,0.07458410713503158,0.03808255621396949
