Color,Wavelength,R,T,x,K,S
k,741.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,740.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,739.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,738.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,737.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,736.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,735.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,734.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,733.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,732.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,731.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,730.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,729.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,728.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,727.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,726.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,725.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,724.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,723.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,722.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,721.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,720.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,719.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,718.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,717.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,716.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,715.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
k,714.0,0.03,0.001,0.3,21.68171140427643,1.3826167146980617
