r,g,b,c_c,c_m,c_y,c_k,c_w,pred_r,pred_g,pred_b,pred_d
0.0,0.1,0.7,0.684096195658,0.220397943393,2.84689522048e-23,0.0955058609489,5.03853127274e-18,0.028981196391,0.393779296838,0.605408928047,1.03393013912
0.0,0.1,0.8,0.709454335423,0.243901814054,1.37766450162e-37,0.0466438505228,2.09948439664e-13,0.0293116338245,0.424423033151,0.705660130151,0.918027571746
0.0,0.1,0.9,0.733662175221,0.261750247822,2.12613501642e-24,0.00458757695784,2.19613623962e-23,0.0298181581023,0.452737405,0.808367350983,0.818355374358
0.0,0.1,1.0,0.736909521815,0.263090478185,5.62518088212e-32,5.29272261381e-28,4.63526989143e-30,0.0267679779285,0.456240146376,0.821007874008,0.807609223835
0.0,0.2,0.0,0.533162800657,6.3904851907e-09,0.0412811773678,0.425556015584,3.69232946217e-37,0.0349685126168,0.256164296585,0.0797799974302,2.72566517203
0.0,0.2,0.1,0.545245781652,3.6893660569e-16,0.0153620279048,0.439392190443,4.85768393516e-28,0.0269484274106,0.246436064197,0.109149530754,2.18908160043
0.0,0.2,0.2,0.547577676081,9.99516867721e-18,0.00109272138882,0.45132960253,3.14721468522e-13,0.0223437893983,0.237294128142,0.20413684787,1.89974588999
0.0,0.2,0.3,0.577370206337,0.048998420524,4.62299431732e-45,0.373631373139,8.37609975215e-13,0.0115069847176,0.264347066482,0.26897513664,1.6933743473
0.0,0.2,0.4,0.61062317213,0.115631685942,1.28015835676e-28,0.273745141928,1.1776684679e-24,0.0147635874782,0.303222385705,0.356018272781,1.45691914985
0.0,0.2,0.5,0.640782409579,0.163127895863,3.886685353e-16,0.196089694558,3.33508223908e-18,0.0168764905336,0.339514626315,0.446784581909,1.27298150783
0.0,0.2,0.6,0.668210522765,0.199046589607,3.35156661302e-27,0.132742887628,9.28461860945e-20,0.0184053043335,0.373249322669,0.540449135146,1.12274314442
0.0,0.2,0.7,0.693547253513,0.226806878479,7.3868190109e-21,0.0796458680079,1.90679728198e-24,0.0196221072209,0.404497950226,0.636406675045,0.996697337934
0.0,0.2,0.8,0.717365468066,0.248253477601,2.67241401955e-14,0.0343810543325,2.78447208822e-13,0.0206733605785,0.433357964244,0.734154546629,0.889240339795
0.0,0.2,0.9,0.737543205903,0.262456794097,2.53585750832e-27,1.35252818833e-14,6.68136389563e-16,0.0211070576965,0.456767860489,0.821211401616,0.807774312782
0.0,0.2,1.0,0.737940772754,0.262059227229,4.81921312655e-28,1.99918516027e-14,1.77236030359e-11,0.0175532899883,0.457099216808,0.821339134015,0.807877890289
0.0,0.3,0.0,0.531798297501,8.44449830227e-20,0.128101846328,0.340099856171,3.13961961992e-26,0.00992841354005,0.320866765285,0.0593638540484,4.38340812723
0.0,0.3,0.1,0.578422751226,0.0281206311161,0.0406654140701,0.35024511185,0.00254609173738,0.0,0.299999985753,0.100000008273,2.55599134742
