r,g,b,c_c,c_m,c_y,c_k,c_w,pred_r,pred_g,pred_b,pred_d
0.0,0.2,0.1,0.545245015835,2.96625624858e-15,0.015361886897,0.439393097268,1.61533422548e-29,0.026949279303,0.246435514639,0.109149810684,2.18908046394
0.0,0.2,0.2,0.547577517664,1.83801782579e-16,0.0010926945902,0.451329787745,7.34764851897e-13,0.022343936994,0.237294014925,0.204137071299,1.89974569814
0.0,0.2,0.3,0.611728646669,0.0363691576222,5.48463467778e-12,0.351902195703,6.13173772217e-14,0.0161743229683,0.258949826864,0.282124209704,1.67959847535
0.0,0.2,0.4,0.680361124754,0.0760235680753,2.52829266441e-16,0.243615307171,1.03338055859e-15,0.0196161260042,0.284921471306,0.377946861318,1.46444385066
0.0,0.2,0.5,0.734422892694,0.103262869406,2.44192819919e-26,0.162314237899,3.89977995395e-17,0.0219265553717,0.308094107375,0.475358438419,1.29997119681
0.0,0.2,0.6,0.779335050699,0.122607144285,2.85307314565e-12,0.0980578050136,6.56584583717e-15,0.0236372490693,0.328947755704,0.573683881362,1.16767448665
0.0,0.2,0.7,0.817971470715,0.136281611938,9.14259203392e-19,0.0457469173468,3.92654139738e-13,0.0250173157755,0.347934805668,0.672439075166,1.05800519426
0.0,0.2,0.8,0.85202683091,0.145509846886,1.57394340274e-16,0.0024633222043,2.6242485693e-17,0.0262072501624,0.365484890841,0.771229796663,0.965479574263
0.0,0.2,0.9,0.854695015485,0.145304984436,5.19763903664e-33,7.24974394474e-12,7.2392458856e-11,0.0193744527933,0.367746306011,0.778056035662,0.959776654508
0.0,0.2,1.0,0.8553581017,0.144641898013,2.10421385552e-20,1.27055640947e-11,2.74660132106e-10,0.0120570902745,0.368992196572,0.778608521759,0.959394887719
0.0,0.3,0.0,0.531798151861,1.36031908319e-12,0.128102278979,0.340099569158,1.6361397741e-14,0.00992850131176,0.320867019391,0.05936375005,4.38341647776
0.0,0.3,0.1,0.570672069486,0.00185050684104,0.0526643674184,0.370502853132,0.004310203123,9.14959900733e-09,0.300000023592,0.0999999816039,2.87849062803
0.0,0.3,0.2,0.600606601955,0.00515726594376,0.0102444033558,0.374601872175,0.00938985657031,1.6368431216e-09,0.299999993334,0.199999999803,1.99223189935
0.0,0.3,0.3,0.62026801926,0.0163529661691,0.00115601611926,0.35255859096,0.00966440749182,0.0,0.300000013473,0.299999991148,1.75101680045
0.0,0.3,0.4,0.698058811423,0.0780754457381,0.000203931871718,0.222464679461,0.00119713150655,1.24169342292e-08,0.300000056278,0.399999986634,1.43043290079
0.0,0.3,0.5,0.746839480759,0.104679169887,3.39876491643e-17,0.148481349354,1.07742945898e-15,0.00325679774421,0.316518010984,0.496397605681,1.26999250393
0.0,0.3,0.6,0.788896105531,0.123234395352,3.09192722894e-24,0.0878694991161,6.63526518073e-14,0.00644592867603,0.335923839833,0.592907933575,1.14519983226
0.0,0.3,0.7,0.825646718508,0.136393785191,4.16023586447e-11,0.0379594960646,1.95078029131e-10,0.00896233156804,0.3538957263,0.690204536032,1.04050732029
0.0,0.3,0.8,0.855527896266,0.144472103734,3.39620582773e-18,2.92762524898e-14,6.11113886078e-14,0.0101774563121,0.369311683988,0.778750084522,0.95929713092
0.0,0.3,0.9,0.856182823681,0.143817176317,2.70192752564e-28,5.41228348811e-15,2.25709754593e-12,0.00290469557431,0.370545760208,0.779296449922,0.958920082671
0.0,0.3,1.0,0.867114734565,0.132885265435,1.06931523514e-19,7.40894417343e-15,5.30780208482e-19,0.0,0.391564570759,0.788495679942,0.952629074128
0.0,0.4,0.0,0.511807716412,6.92870451205e-13,0.238639268623,0.249553014964,1.56991105737e-17,0.00300418490017,0.41090787721,0.0212192592374,6.41350488482
0.0,0.4,0.1,0.563271637274,8.76075074409e-05,0.141922702152,0.277570965069,0.0171470879976,0.0,0.39999999531,0.100000008096,4.62912456802
0.0,0.4,0.2,0.673607574937,0.01061718593,0.0322043064354,0.260720353292,0.0228505794054,0.0,0.400000002042,0.200000002591,2.30581045237
0.0,0.4,0.3,0.741905183616,0.0849662691906,0.0140334160933,0.136793963158,0.0223011679416,1.47739269818e-09,0.400000012317,0.30000000091,1.67371894746
0.0,0.4,0.4,0.735163006688,0.0740965742573,0.00584163393174,0.157429345289,0.0274694398344,4.62519707534e-09,0.39999997696,0.399999999083,1.56166743142
0.0,0.4,0.5,0.772805364833,0.101525793361,0.00295381737184,0.100329952952,0.0223850714818,4.57481348914e-09,0.400000013849,0.499999999025,1.35731316603
0.0,0.4,0.6,0.780619536174,0.103401002319,1.75583833385e-06,0.0921064006893,0.0238713049792,1.13856146733e-12,0.400000000004,0.599999999998,1.28302506749
0.0,0.4,0.7,0.825371251292,0.131390842364,6.11720054968e-08,0.0272876330875,0.0159502120843,0.0,0.399999998966,0.69999999989,1.10769481356
0.0,0.4,0.8,0.872813171502,0.127186828498,1.33300911475e-20,1.74737446352e-22,4.03731189727e-18,0.0,0.402845130155,0.793350824995,0.949351736262
0.0,0.4,0.9,0.889828894155,0.110171105754,2.74421728006e-19,5.38704577398e-11,3.72091398429e-11,0.0,0.437932934327,0.80809641889,0.9395735119
0.0,0.4,1.0,0.905036524104,0.0949634758956,8.16727079949e-42,1.31758049214e-20,4.60538815462e-21,0.0,0.471193205805,0.821594475334,0.930844556592
0.0,0.5,0.0,0.511984763663,0.000429863104482,0.298466564621,0.181361364393,0.00775744421831,0.0,0.500000002584,0.0,7.48364260702
0.0,0.5,0.1,0.563358697336,9.55454134578e-05,0.20623945415,0.196173329555,0.034132973545,0.0,0.499999994639,0.100000017425,5.84524292032
0.0,0.5,0.2,0.809358825256,0.0433724254907,0.0356324060706,0.0984223331304,0.0132140100523,0.0,0.499999999118,0.200000000415,1.98717829165
0.0,0.5,0.3,0.796444394523,0.051803725324,0.0213013204276,0.0977975812383,0.0326529784867,0.0,0.499999998707,0.300000001691,1.78787478562
0.0,0.5,0.4,0.752883691961,0.0617949934756,0.0142404344454,0.106366260051,0.064714620067,3.22002108977e-09,0.500000022275,0.39999999475,1.8379112125
0.0,0.5,0.5,0.690403481033,0.00112993716293,0.00253156480472,0.220211637706,0.0857233792934,3.2112597248e-09,0.50000002298,0.499999990763,1.91020860699
0.0,0.5,0.6,0.826064668327,0.0716260892921,0.00229765977742,0.0608250922306,0.0391864903727,0.0,0.500000995982,0.600000012136,1.33434029997
0.0,0.5,0.7,0.824422134375,0.0853201686942,9.12226487176e-05,0.0411494424735,0.0490170318085,0.0,0.500000002963,0.699999995349,1.30545644845
0.0,0.5,0.8,0.899295628257,0.0895434143447,4.20022607787e-08,5.92443334771e-05,0.0111016710625,0.0,0.499999998039,0.799999999819,0.993701359669
0.0,0.5,0.9,0.926802269645,0.0731976618616,6.21093650764e-250,2.87534453945e-09,6.56185057652e-08,0.0,0.522216811495,0.841447894222,0.918368671019
